n,theta,r,t,Y
0.8095703125,0.6650390625,0.2275390625,0.1240234375,0.43277735
0.7607421875,0.0263671875,0.2275390625,0.1240234375,0.23648804
0.7607421875,0.6650390625,0.8876953125,0.1240234375,0.5222828
0.7607421875,0.6650390625,0.2275390625,0.2294921875,0.42772555
0.8095703125,0.0263671875,0.8876953125,0.2294921875,0.32281134
0.5107421875,0.4150390625,0.9775390625,0.8740234375,0.311085
0.5595703125,0.4150390625,0.9775390625,0.8740234375,0.31555122
0.5107421875,0.2763671875,0.9775390625,0.8740234375,0.23151122
0.5107421875,0.4150390625,0.1376953125,0.8740234375,0.21750058
0.5107421875,0.4150390625,0.9775390625,0.4794921875,0.36502716
0.5595703125,0.2763671875,0.1376953125,0.4794921875,0.19633517
0.0107421875,0.9150390625,0.4775390625,0.3740234375,0.3904475
0.0595703125,0.9150390625,0.4775390625,0.3740234375,0.39951134
0.0107421875,0.7763671875,0.4775390625,0.3740234375,0.39027542
0.0107421875,0.9150390625,0.6376953125,0.3740234375,0.41932166
0.0107421875,0.9150390625,0.4775390625,0.9794921875,0.3065309
0.0595703125,0.7763671875,0.6376953125,0.9794921875,0.3442968
0.0146484375,0.0830078125,0.7470703125,0.7998046875,0.18090709
0.5712890625,0.0830078125,0.7470703125,0.7998046875,0.26192355
0.0146484375,0.2412109375,0.7470703125,0.7998046875,0.18576416
0.0146484375,0.0830078125,0.2509765625,0.7998046875,0.08857104
0.0146484375,0.0830078125,0.7470703125,0.8427734375,0.17350364
0.5712890625,0.2412109375,0.2509765625,0.8427734375,0.16704114
0.5146484375,0.5830078125,0.2470703125,0.2998046875,0.4070401
0.0712890625,0.5830078125,0.2470703125,0.2998046875,0.34155953
0.5146484375,0.7412109375,0.2470703125,0.2998046875,0.41482958
0.5146484375,0.5830078125,0.7509765625,0.2998046875,0.5003329
0.5146484375,0.5830078125,0.2470703125,0.3427734375,0.4043139
0.0712890625,0.7412109375,0.7509765625,0.3427734375,0.43991566
0.7646484375,0.3330078125,0.9970703125,0.5498046875,0.30761424
0.3212890625,0.3330078125,0.9970703125,0.5498046875,0.26904
0.7646484375,0.9912109375,0.9970703125,0.5498046875,0.47732052
0.7646484375,0.3330078125,0.0009765625,0.5498046875,0.20339417
0.7646484375,0.3330078125,0.9970703125,0.0927734375,0.3374512
0.3212890625,0.9912109375,0.0009765625,0.0927734375,0.36436316
0.2646484375,0.8330078125,0.4970703125,0.0498046875,0.45463097
0.8212890625,0.8330078125,0.4970703125,0.0498046875,0.5023573
0.2646484375,0.4912109375,0.4970703125,0.0498046875,0.4132014
0.2646484375,0.8330078125,0.5009765625,0.0498046875,0.45548567
0.2646484375,0.8330078125,0.4970703125,0.5927734375,0.4187693
0.8212890625,0.4912109375,0.5009765625,0.5927734375,0.42592075
0.3896484375,0.4580078125,0.1220703125,0.1748046875,0.31579775
0.9462890625,0.4580078125,0.1220703125,0.1748046875,0.34303418
0.3896484375,0.1162109375,0.1220703125,0.1748046875,0.18585405
0.3896484375,0.4580078125,0.1259765625,0.1748046875,0.31639853
0.3896484375,0.4580078125,0.1220703125,0.2177734375,0.3138832
0.9462890625,0.1162109375,0.1259765625,0.2177734375,0.21177673
0.8896484375,0.9580078125,0.6220703125,0.6748046875,0.47806975
0.4462890625,0.9580078125,0.6220703125,0.6748046875,0.45605627
0.8896484375,0.6162109375,0.6220703125,0.6748046875,0.47376534
0.8896484375,0.9580078125,0.6259765625,0.6748046875,0.4785836
0.8896484375,0.9580078125,0.6220703125,0.7177734375,0.47205025
0.4462890625,0.6162109375,0.6259765625,0.7177734375,0.44624615
0.6396484375,0.2080078125,0.3720703125,0.4248046875,0.25248682
0.1962890625,0.2080078125,0.3720703125,0.4248046875,0.19918975
0.6396484375,0.8662109375,0.3720703125,0.4248046875,0.44718993
0.6396484375,0.2080078125,0.3759765625,0.4248046875,0.25348252
0.6396484375,0.2080078125,0.3720703125,0.9677734375,0.17500947
0.1962890625,0.8662109375,0.3759765625,0.9677734375,0.31741118
0.1396484375,0.7080078125,0.8720703125,0.9248046875,0.37141234
0.6962890625,0.7080078125,0.8720703125,0.9248046875,0.43735456
0.1396484375,0.3662109375,0.8720703125,0.9248046875,0.22202905
0.1396484375,0.7080078125,0.8759765625,0.9248046875,0.37099183
0.1396484375,0.7080078125,0.8720703125,0.4677734375,0.43627828
0.6962890625,0.3662109375,0.8759765625,0.4677734375,0.3524168
0.2021484375,0.2705078125,0.3095703125,0.7373046875,0.15486157
0.0087890625,0.2705078125,0.3095703125,0.7373046875,0.12024656
0.2021484375,0.4287109375,0.3095703125,0.7373046875,0.24882631
0.2021484375,0.2705078125,0.1884765625,0.7373046875,0.12710048
0.2021484375,0.2705078125,0.3095703125,0.1552734375,0.20646206
0.0087890625,0.4287109375,0.1884765625,0.1552734375,0.23805071
0.7021484375,0.7705078125,0.8095703125,0.2373046875,0.5236883
0.5087890625,0.7705078125,0.8095703125,0.2373046875,0.5101227
0.7021484375,0.9287109375,0.8095703125,0.2373046875,0.52388585
0.7021484375,0.7705078125,0.6884765625,0.2373046875,0.52206475
0.7021484375,0.7705078125,0.8095703125,0.6552734375,0.48724183
0.5087890625,0.9287109375,0.6884765625,0.6552734375,0.47225025
0.9521484375,0.0205078125,0.0595703125,0.9873046875,0.10776742
0.7587890625,0.0205078125,0.0595703125,0.9873046875,0.10978505
0.9521484375,0.6787109375,0.0595703125,0.9873046875,0.30383295
0.9521484375,0.0205078125,0.4384765625,0.9873046875,0.1876583
0.9521484375,0.0205078125,0.0595703125,0.9052734375,0.1248201
0.7587890625,0.6787109375,0.4384765625,0.9052734375,0.40279418
0.4521484375,0.5205078125,0.5595703125,0.4873046875,0.4425708
0.2587890625,0.5205078125,0.5595703125,0.4873046875,0.41597652
0.4521484375,0.1787109375,0.5595703125,0.4873046875,0.27224916
0.4521484375,0.5205078125,0.9384765625,0.4873046875,0.44724298
0.4521484375,0.5205078125,0.5595703125,0.4052734375,0.4496015
0.2587890625,0.1787109375,0.9384765625,0.4052734375,0.2573578
0.3271484375,0.1455078125,0.9345703125,0.3623046875,0.27079728
0.3837890625,0.1455078125,0.9345703125,0.3623046875,0.27862158
0.3271484375,0.3037109375,0.9345703125,0.3623046875,0.28652814
0.3271484375,0.1455078125,0.3134765625,0.3623046875,0.20771581
0.3271484375,0.1455078125,0.9345703125,0.7802734375,0.22367246
0.3837890625,0.3037109375,0.3134765625,0.7802734375,0.18414618
0.8271484375,0.6455078125,0.4345703125,0.8623046875,0.40951937
0.8837890625,0.6455078125,0.4345703125,0.8623046875,0.40892574
0.8271484375,0.8037109375,0.4345703125,0.8623046875,0.41184652
0.8271484375,0.6455078125,0.8134765625,0.8623046875,0.45493457
0.8271484375,0.6455078125,0.4345703125,0.2802734375,0.47598973
0.8837890625,0.8037109375,0.8134765625,0.2802734375,0.52313846
0.5771484375,0.3955078125,0.6845703125,0.1123046875,0.39346808
0.6337890625,0.3955078125,0.6845703125,0.1123046875,0.3974592
0.5771484375,0.5537109375,0.6845703125,0.1123046875,0.50560623
0.5771484375,0.3955078125,0.0634765625,0.1123046875,0.27123216
0.5771484375,0.3955078125,0.6845703125,0.0302734375,0.39585048
0.6337890625,0.5537109375,0.0634765625,0.0302734375,0.38974383
0.0771484375,0.8955078125,0.1845703125,0.6123046875,0.3097126
0.1337890625,0.8955078125,0.1845703125,0.6123046875,0.3198967
0.0771484375,0.0537109375,0.1845703125,0.6123046875,0.11245771
0.0771484375,0.8955078125,0.5634765625,0.6123046875,0.39771575
0.0771484375,0.8955078125,0.1845703125,0.5302734375,0.318839
0.1337890625,0.0537109375,0.5634765625,0.5302734375,0.21977144
0.1083984375,0.4267578125,0.7783203125,0.3935546875,0.34689716
0.8525390625,0.4267578125,0.7783203125,0.3935546875,0.42093837
0.1083984375,0.7724609375,0.7783203125,0.3935546875,0.4431351
0.1083984375,0.4267578125,0.7822265625,0.3935546875,0.34682837
0.1083984375,0.4267578125,0.7783203125,0.0615234375,0.3634755
0.8525390625,0.7724609375,0.7822265625,0.0615234375,0.53368586
0.6083984375,0.9267578125,0.2783203125,0.8935546875,0.35922527
0.3525390625,0.9267578125,0.2783203125,0.8935546875,0.33210403
0.6083984375,0.2724609375,0.2783203125,0.8935546875,0.1710776
0.6083984375,0.9267578125,0.2822265625,0.8935546875,0.36017373
0.6083984375,0.9267578125,0.2783203125,0.5615234375,0.4086292
0.3525390625,0.2724609375,0.2822265625,0.5615234375,0.19430874
0.8583984375,0.1767578125,0.5283203125,0.1435546875,0.3098729
0.1025390625,0.1767578125,0.5283203125,0.1435546875,0.23483916
0.8583984375,0.0224609375,0.5283203125,0.1435546875,0.30849805
0.8583984375,0.1767578125,0.5322265625,0.1435546875,0.31065866
0.8583984375,0.1767578125,0.5283203125,0.8115234375,0.24595852
0.1025390625,0.0224609375,0.5322265625,0.8115234375,0.17033572
0.3583984375,0.6767578125,0.0283203125,0.6435546875,0.3290294
0.6025390625,0.6767578125,0.0283203125,0.6435546875,0.35492784
0.3583984375,0.5224609375,0.0283203125,0.6435546875,0.30561906
0.3583984375,0.6767578125,0.0322265625,0.6435546875,0.32930538
0.3583984375,0.6767578125,0.0283203125,0.3115234375,0.35980922
0.6025390625,0.5224609375,0.0322265625,0.3115234375,0.36257327
0.4833984375,0.0517578125,0.4033203125,0.5185546875,0.23632523
0.7275390625,0.0517578125,0.4033203125,0.5185546875,0.2534049
0.4833984375,0.8974609375,0.4033203125,0.5185546875,0.43358555
0.4833984375,0.0517578125,0.6572265625,0.5185546875,0.28533322
0.4833984375,0.0517578125,0.4033203125,0.9365234375,0.1738952
0.7275390625,0.8974609375,0.6572265625,0.9365234375,0.43724316
0.9833984375,0.5517578125,0.9033203125,0.0185546875,0.50685734
0.2275390625,0.5517578125,0.9033203125,0.0185546875,0.45737374
0.9833984375,0.3974609375,0.9033203125,0.0185546875,0.39700705
0.9833984375,0.5517578125,0.1572265625,0.0185546875,0.40454108
0.9833984375,0.5517578125,0.9033203125,0.4365234375,0.48574895
0.2275390625,0.3974609375,0.1572265625,0.4365234375,0.22409871
0.7333984375,0.3017578125,0.1533203125,0.7685546875,0.17921609
0.4775390625,0.3017578125,0.1533203125,0.7685546875,0.16133004
0.7333984375,0.1474609375,0.1533203125,0.7685546875,0.16409236
0.7333984375,0.3017578125,0.9072265625,0.7685546875,0.28169817
0.7333984375,0.3017578125,0.1533203125,0.1865234375,0.23435235
0.4775390625,0.1474609375,0.9072265625,0.1865234375,0.30382466
0.2333984375,0.8017578125,0.6533203125,0.2685546875,0.4670893
0.9775390625,0.8017578125,0.6533203125,0.2685546875,0.51591843
0.2333984375,0.6474609375,0.6533203125,0.2685546875,0.46485773
0.2333984375,0.8017578125,0.4072265625,0.2685546875,0.41946915
0.2333984375,0.8017578125,0.6533203125,0.6865234375,0.42810374
0.9775390625,0.6474609375,0.4072265625,0.6865234375,0.4270811
0.1708984375,0.2392578125,0.2158203125,0.0810546875,0.17762461
0.2900390625,0.2392578125,0.2158203125,0.0810546875,0.1969995
0.1708984375,0.5849609375,0.2158203125,0.0810546875,0.36226767
0.1708984375,0.2392578125,0.7197265625,0.0810546875,0.2770494
0.1708984375,0.2392578125,0.2158203125,0.9990234375,0.074830905
0.2900390625,0.5849609375,0.7197265625,0.9990234375,0.3782736
0.6708984375,0.7392578125,0.7158203125,0.5810546875,0.4946996
0.7900390625,0.7392578125,0.7158203125,0.5810546875,0.49835497
0.6708984375,0.0849609375,0.7158203125,0.5810546875,0.29791933
0.6708984375,0.7392578125,0.2197265625,0.5810546875,0.39629453
0.6708984375,0.7392578125,0.7158203125,0.4990234375,0.5032765
0.7900390625,0.0849609375,0.2197265625,0.4990234375,0.21174648
0.9208984375,0.4892578125,0.4658203125,0.3310546875,0.43849057
0.5400390625,0.4892578125,0.4658203125,0.3310546875,0.4269997
0.9208984375,0.3349609375,0.4658203125,0.3310546875,0.3124892
0.9208984375,0.4892578125,0.9697265625,0.3310546875,0.45745432
0.9208984375,0.4892578125,0.4658203125,0.2490234375,0.4432857
0.5400390625,0.3349609375,0.9697265625,0.2490234375,0.32475725
0.4208984375,0.9892578125,0.9658203125,0.8310546875,0.41896176
0.0400390625,0.9892578125,0.9658203125,0.8310546875,0.3580551
0.4208984375,0.8349609375,0.9658203125,0.8310546875,0.41890693
0.4208984375,0.9892578125,0.4697265625,0.8310546875,0.40019256
0.4208984375,0.9892578125,0.9658203125,0.7490234375,0.4324131
0.0400390625,0.8349609375,0.4697265625,0.7490234375,0.3526823
0.2958984375,0.3642578125,0.5908203125,0.9560546875,0.23162763
0.1650390625,0.3642578125,0.5908203125,0.9560546875,0.21035497
0.2958984375,0.7099609375,0.5908203125,0.9560546875,0.38241678
0.2958984375,0.3642578125,0.8447265625,0.9560546875,0.24246304
0.2958984375,0.3642578125,0.5908203125,0.1240234375,0.32368696
0.1650390625,0.7099609375,0.8447265625,0.1240234375,0.4640388
0.7958984375,0.8642578125,0.0908203125,0.4560546875,0.3902436
0.6650390625,0.8642578125,0.0908203125,0.4560546875,0.38623023
0.7958984375,0.2099609375,0.0908203125,0.4560546875,0.19564547
0.7958984375,0.8642578125,0.3447265625,0.4560546875,0.44300276
0.7958984375,0.8642578125,0.0908203125,0.6240234375,0.3726493
0.6650390625,0.2099609375,0.3447265625,0.6240234375,0.226797
0.5458984375,0.1142578125,0.8408203125,0.7060546875,0.2715304
0.9150390625,0.1142578125,0.8408203125,0.7060546875,0.28268027
0.5458984375,0.4599609375,0.8408203125,0.7060546875,0.40319413
0.5458984375,0.1142578125,0.5947265625,0.7060546875,0.26100183
0.5458984375,0.1142578125,0.8408203125,0.8740234375,0.24395518
0.9150390625,0.4599609375,0.5947265625,0.8740234375,0.3762402
0.0458984375,0.6142578125,0.3408203125,0.2060546875,0.36851132
0.4150390625,0.6142578125,0.3408203125,0.2060546875,0.42761067
0.0458984375,0.9599609375,0.3408203125,0.2060546875,0.3729823
0.0458984375,0.6142578125,0.0947265625,0.2060546875,0.31724623
0.0458984375,0.6142578125,0.3408203125,0.3740234375,0.3586607
0.4150390625,0.9599609375,0.0947265625,0.3740234375,0.37096596
0.0615234375,0.3173828125,0.0439453125,0.2529296875,0.14056718
0.7119140625,0.3173828125,0.0439453125,0.2529296875,0.22120395
0.0615234375,0.8193359375,0.0439453125,0.2529296875,0.31678602
0.0615234375,0.3173828125,0.5478515625,0.2529296875,0.24594931
0.0615234375,0.3173828125,0.0439453125,0.4833984375,0.124009684
0.7119140625,0.8193359375,0.5478515625,0.4833984375,0.48624745
0.5615234375,0.8173828125,0.5439453125,0.7529296875,0.44342226
0.2119140625,0.8173828125,0.5439453125,0.7529296875,0.398357
0.5615234375,0.3193359375,0.5439453125,0.7529296875,0.26794752
0.5615234375,0.8173828125,0.0478515625,0.7529296875,0.33912086
0.5615234375,0.8173828125,0.5439453125,0.9833984375,0.40062636
0.2119140625,0.3193359375,0.0478515625,0.9833984375,0.07578497
0.8115234375,0.0673828125,0.2939453125,0.0029296875,0.2562674
0.4619140625,0.0673828125,0.2939453125,0.0029296875,0.23534212
0.8115234375,0.0693359375,0.2939453125,0.0029296875,0.25627396
0.8115234375,0.0673828125,0.7978515625,0.0029296875,0.33779228
0.8115234375,0.0673828125,0.2939453125,0.7333984375,0.20067197
0.4619140625,0.0693359375,0.7978515625,0.7333984375,0.26127812
0.3115234375,0.5673828125,0.7939453125,0.5029296875,0.45618445
0.9619140625,0.5673828125,0.7939453125,0.5029296875,0.4936267
0.3115234375,0.5693359375,0.7939453125,0.5029296875,0.45657837
0.3115234375,0.5673828125,0.2978515625,0.5029296875,0.37549567
0.3115234375,0.5673828125,0.7939453125,0.2333984375,0.47559506
0.9619140625,0.5693359375,0.2978515625,0.2333984375,0.43274248
0.4365234375,0.1923828125,0.6689453125,0.6279296875,0.27081877
0.8369140625,0.1923828125,0.6689453125,0.6279296875,0.29466647
0.4365234375,0.9443359375,0.6689453125,0.6279296875,0.4662491
0.4365234375,0.1923828125,0.9228515625,0.6279296875,0.26275134
0.4365234375,0.1923828125,0.6689453125,0.6083984375,0.2731945
0.8369140625,0.9443359375,0.9228515625,0.6083984375,0.4844051
0.9365234375,0.6923828125,0.1689453125,0.1279296875,0.41924438
0.3369140625,0.6923828125,0.1689453125,0.1279296875,0.38443905
0.9365234375,0.4443359375,0.1689453125,0.1279296875,0.3407282
0.9365234375,0.6923828125,0.4228515625,0.1279296875,0.47945717
0.9365234375,0.6923828125,0.1689453125,0.1083984375,0.41991684
0.3369140625,0.4443359375,0.4228515625,0.1083984375,0.36680815
0.6865234375,0.4423828125,0.9189453125,0.8779296875,0.35950863
0.0869140625,0.4423828125,0.9189453125,0.8779296875,0.28455102
0.6865234375,0.1943359375,0.9189453125,0.8779296875,0.24547808
0.6865234375,0.4423828125,0.6728515625,0.8779296875,0.3673476
0.6865234375,0.4423828125,0.9189453125,0.3583984375,0.42394704
0.0869140625,0.1943359375,0.6728515625,0.3583984375,0.24279782
0.1865234375,0.9423828125,0.4189453125,0.3779296875,0.4077262
0.5869140625,0.9423828125,0.4189453125,0.3779296875,0.4590853
0.1865234375,0.6943359375,0.4189453125,0.3779296875,0.4068015
0.1865234375,0.9423828125,0.1728515625,0.3779296875,0.34921858
0.1865234375,0.9423828125,0.4189453125,0.8583984375,0.34829944
0.5869140625,0.6943359375,0.1728515625,0.8583984375,0.34022617
0.2490234375,0.0048828125,0.9814453125,0.1904296875,0.25962046
0.1494140625,0.0048828125,0.9814453125,0.1904296875,0.24291497
0.2490234375,0.5068359375,0.9814453125,0.1904296875,0.42472985
0.2490234375,0.0048828125,0.9853515625,0.1904296875,0.2588631
0.2490234375,0.0048828125,0.9814453125,0.5458984375,0.23385143
0.1494140625,0.5068359375,0.9853515625,0.5458984375,0.38149798
0.7490234375,0.5048828125,0.4814453125,0.6904296875,0.4164261
0.6494140625,0.5048828125,0.4814453125,0.6904296875,0.41235834
0.7490234375,0.0068359375,0.4814453125,0.6904296875,0.2523769
0.7490234375,0.5048828125,0.4853515625,0.6904296875,0.41731054
0.7490234375,0.5048828125,0.4814453125,0.0458984375,0.4648046
0.6494140625,0.0068359375,0.4853515625,0.0458984375,0.2975721
0.9990234375,0.2548828125,0.7314453125,0.4404296875,0.31756645
0.8994140625,0.2548828125,0.7314453125,0.4404296875,0.32166317
0.9990234375,0.2568359375,0.7314453125,0.4404296875,0.3178185
0.9990234375,0.2548828125,0.7353515625,0.4404296875,0.31767997
0.9990234375,0.2548828125,0.7314453125,0.2958984375,0.3279086
0.8994140625,0.2568359375,0.7353515625,0.2958984375,0.33237088
0.4990234375,0.7548828125,0.2314453125,0.9404296875,0.3292705
0.3994140625,0.7548828125,0.2314453125,0.9404296875,0.3178043
0.4990234375,0.7568359375,0.2314453125,0.9404296875,0.32928118
0.4990234375,0.7548828125,0.2353515625,0.9404296875,0.3301471
0.4990234375,0.7548828125,0.2314453125,0.7958984375,0.35606724
0.3994140625,0.7568359375,0.2353515625,0.7958984375,0.34548828
0.3740234375,0.3798828125,0.3564453125,0.8154296875,0.22913064
0.2744140625,0.3798828125,0.3564453125,0.8154296875,0.21470104
0.3740234375,0.6318359375,0.3564453125,0.8154296875,0.36562282
0.3740234375,0.3798828125,0.6103515625,0.8154296875,0.28429043
0.3740234375,0.3798828125,0.3564453125,0.4208984375,0.27766478
0.2744140625,0.6318359375,0.6103515625,0.4208984375,0.45488718
0.8740234375,0.8798828125,0.8564453125,0.3154296875,0.5182467
0.7744140625,0.8798828125,0.8564453125,0.3154296875,0.51826155
0.8740234375,0.1318359375,0.8564453125,0.3154296875,0.3214662
0.8740234375,0.8798828125,0.1103515625,0.3154296875,0.403087
0.8740234375,0.8798828125,0.8564453125,0.9208984375,0.44262946
0.7744140625,0.1318359375,0.1103515625,0.9208984375,0.13070409
0.6240234375,0.1298828125,0.1064453125,0.5654296875,0.17834443
0.5244140625,0.1298828125,0.1064453125,0.5654296875,0.1703879
0.6240234375,0.3818359375,0.1064453125,0.5654296875,0.23709342
0.6240234375,0.1298828125,0.8603515625,0.5654296875,0.2936907
0.6240234375,0.1298828125,0.1064453125,0.6708984375,0.16550532
0.5244140625,0.3818359375,0.8603515625,0.6708984375,0.33164406
0.1240234375,0.6298828125,0.6064453125,0.0654296875,0.4476285
0.0244140625,0.6298828125,0.6064453125,0.0654296875,0.429443
0.1240234375,0.8818359375,0.6064453125,0.0654296875,0.45090908
0.1240234375,0.6298828125,0.3603515625,0.0654296875,0.39403075
0.1240234375,0.6298828125,0.6064453125,0.1708984375,0.4439871
0.0244140625,0.8818359375,0.3603515625,0.1708984375,0.37548444
0.0927734375,0.1611328125,0.4501953125,0.9091796875,0.13349037
0.9931640625,0.1611328125,0.4501953125,0.9091796875,0.20577367
0.0927734375,0.1630859375,0.4501953125,0.9091796875,0.13353203
0.0927734375,0.1611328125,0.0166015625,0.9091796875,0.0474156
0.0927734375,0.1611328125,0.4501953125,0.6396484375,0.17673913
0.9931640625,0.1630859375,0.0166015625,0.6396484375,0.16298929
0.5927734375,0.6611328125,0.9501953125,0.4091796875,0.48915073
0.4931640625,0.6611328125,0.9501953125,0.4091796875,0.4802743
0.5927734375,0.6630859375,0.9501953125,0.4091796875,0.48921815
0.5927734375,0.6611328125,0.5166015625,0.4091796875,0.4780045
0.5927734375,0.6611328125,0.9501953125,0.1396484375,0.5044065
0.4931640625,0.6630859375,0.5166015625,0.1396484375,0.48445132
0.8427734375,0.4111328125,0.2001953125,0.6591796875,0.27512348
0.2431640625,0.4111328125,0.2001953125,0.6591796875,0.22404344
0.8427734375,0.9130859375,0.2001953125,0.6591796875,0.3867615
0.8427734375,0.4111328125,0.2666015625,0.6591796875,0.28998333
0.8427734375,0.4111328125,0.2001953125,0.3896484375,0.30258068
0.2431640625,0.9130859375,0.2666015625,0.3896484375,0.37799853
0.3427734375,0.9111328125,0.7001953125,0.1591796875,0.49291807
0.7431640625,0.9111328125,0.7001953125,0.1591796875,0.5279168
0.3427734375,0.4130859375,0.7001953125,0.1591796875,0.38316336
0.3427734375,0.9111328125,0.7666015625,0.1591796875,0.49484235
0.3427734375,0.9111328125,0.7001953125,0.8896484375,0.41551518
0.7431640625,0.4130859375,0.7666015625,0.8896484375,0.34268346
0.4677734375,0.2861328125,0.8251953125,0.0341796875,0.32724002
0.6181640625,0.2861328125,0.8251953125,0.0341796875,0.34061995
0.4677734375,0.0380859375,0.8251953125,0.0341796875,0.31538746
0.4677734375,0.2861328125,0.3916015625,0.0341796875,0.27175722
0.4677734375,0.2861328125,0.8251953125,0.2646484375,0.31830055
0.6181640625,0.0380859375,0.3916015625,0.2646484375,0.2643451
0.9677734375,0.7861328125,0.3251953125,0.5341796875,0.4271954
0.1181640625,0.7861328125,0.3251953125,0.5341796875,0.35817888
0.9677734375,0.5380859375,0.3251953125,0.5341796875,0.40858072
0.9677734375,0.7861328125,0.8916015625,0.5341796875,0.4934009
0.9677734375,0.7861328125,0.3251953125,0.7646484375,0.39738974
0.1181640625,0.5380859375,0.8916015625,0.7646484375,0.37596402
0.7177734375,0.0361328125,0.5751953125,0.2841796875,0.30899715
0.3681640625,0.0361328125,0.5751953125,0.2841796875,0.27828738
0.7177734375,0.7880859375,0.5751953125,0.2841796875,0.50616086
0.7177734375,0.0361328125,0.1416015625,0.2841796875,0.21109062
0.7177734375,0.0361328125,0.5751953125,0.5146484375,0.29115948
0.3681640625,0.7880859375,0.1416015625,0.5146484375,0.3597069
0.2177734375,0.5361328125,0.0751953125,0.7841796875,0.27345854
0.8681640625,0.5361328125,0.0751953125,0.7841796875,0.3284086
0.2177734375,0.2880859375,0.0751953125,0.7841796875,0.10788147
0.2177734375,0.5361328125,0.6416015625,0.7841796875,0.3902865
0.2177734375,0.5361328125,0.0751953125,0.0146484375,0.3367018
0.8681640625,0.2880859375,0.6416015625,0.0146484375,0.34290278
0.1552734375,0.4736328125,0.5126953125,0.5966796875,0.34953544
0.4306640625,0.4736328125,0.5126953125,0.5966796875,0.39084408
0.1552734375,0.4755859375,0.5126953125,0.5966796875,0.35104212
0.1552734375,0.4736328125,0.4541015625,0.5966796875,0.33629787
0.1552734375,0.4736328125,0.5126953125,0.3271484375,0.37360573
0.4306640625,0.4755859375,0.4541015625,0.3271484375,0.40318352
0.6552734375,0.9736328125,0.0126953125,0.0966796875,0.39928854
0.9306640625,0.9736328125,0.0126953125,0.0966796875,0.40206683
0.6552734375,0.9755859375,0.0126953125,0.0966796875,0.39928868
0.6552734375,0.9736328125,0.9541015625,0.0966796875,0.51104707
0.6552734375,0.9736328125,0.0126953125,0.8271484375,0.3310647
0.9306640625,0.9755859375,0.9541015625,0.8271484375,0.4456016
0.9052734375,0.2236328125,0.7626953125,0.8466796875,0.2666101
0.6806640625,0.2236328125,0.7626953125,0.8466796875,0.2643367
0.9052734375,0.7255859375,0.7626953125,0.8466796875,0.45989168
0.9052734375,0.2236328125,0.2041015625,0.8466796875,0.16378279
0.9052734375,0.2236328125,0.7626953125,0.5771484375,0.3055744
0.6806640625,0.7255859375,0.2041015625,0.5771484375,0.39375538
0.4052734375,0.7236328125,0.2626953125,0.3466796875,0.4030626
0.1806640625,0.7236328125,0.2626953125,0.3466796875,0.3692615
0.4052734375,0.2255859375,0.2626953125,0.3466796875,0.20994078
0.4052734375,0.7236328125,0.7041015625,0.3466796875,0.4910711
0.4052734375,0.7236328125,0.2626953125,0.0771484375,0.415829
0.1806640625,0.2255859375,0.7041015625,0.0771484375,0.27691457
0.2802734375,0.0986328125,0.1376953125,0.4716796875,0.15345414
0.0556640625,0.0986328125,0.1376953125,0.4716796875,0.11497435
0.2802734375,0.3505859375,0.1376953125,0.4716796875,0.19021413
0.2802734375,0.0986328125,0.0791015625,0.4716796875,0.14520523
0.2802734375,0.0986328125,0.1376953125,0.7021484375,0.12692827
0.0556640625,0.3505859375,0.0791015625,0.7021484375,0.11695956
0.7802734375,0.5986328125,0.6376953125,0.9716796875,0.42286825
0.5556640625,0.5986328125,0.6376953125,0.9716796875,0.41150486
0.7802734375,0.8505859375,0.6376953125,0.9716796875,0.4288774
0.7802734375,0.5986328125,0.5791015625,0.9716796875,0.4144113
0.7802734375,0.5986328125,0.6376953125,0.2021484375,0.51512134
0.5556640625,0.8505859375,0.5791015625,0.2021484375,0.5013102
0.5302734375,0.3486328125,0.3876953125,0.2216796875,0.29435772
0.8056640625,0.3486328125,0.3876953125,0.2216796875,0.30824503
0.5302734375,0.6005859375,0.3876953125,0.2216796875,0.45001176
0.5302734375,0.3486328125,0.3291015625,0.2216796875,0.27943447
0.5302734375,0.3486328125,0.3876953125,0.4521484375,0.27903238
0.8056640625,0.6005859375,0.3291015625,0.4521484375,0.4336505
0.0302734375,0.8486328125,0.8876953125,0.7216796875,0.38563237
0.3056640625,0.8486328125,0.8876953125,0.7216796875,0.43265888
0.0302734375,0.1005859375,0.8876953125,0.7216796875,0.18859792
0.0302734375,0.8486328125,0.8291015625,0.7216796875,0.39108858
0.0302734375,0.8486328125,0.8876953125,0.9521484375,0.34483615
0.3056640625,0.1005859375,0.8291015625,0.9521484375,0.20028442
0.0224609375,0.4501953125,0.4267578125,0.1044921875,0.3203186
0.2041015625,0.4501953125,0.4267578125,0.1044921875,0.35270652
0.0224609375,0.3115234375,0.4267578125,0.1044921875,0.21596561
0.0224609375,0.4501953125,0.9150390625,0.1044921875,0.3576913
0.0224609375,0.4501953125,0.4267578125,0.8818359375,0.24242574
0.2041015625,0.3115234375,0.9150390625,0.8818359375,0.20783332
0.5224609375,0.9501953125,0.9267578125,0.6044921875,0.4696327
0.7041015625,0.9501953125,0.9267578125,0.6044921875,0.48194814
0.5224609375,0.8115234375,0.9267578125,0.6044921875,0.4695469
0.5224609375,0.9501953125,0.4150390625,0.6044921875,0.43108588
